epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.6302,1.94038,3.62893,4.17655,0,0,0,0,1.24654,3.9878,4.14268,0.00030006,0.00030006,0.00030006
2,123.831,1.91908,2.02027,3.68536,0,0,0,0,1.25044,3.98564,4.10311,0.000555728,0.000555728,0.000555728
3,180.13,1.6358,1.52636,3.09876,0.13211,1,0.84646,0.39843,1.11376,19.6519,2.40683,0.000748683,0.000748683,0.000748683
4,231.538,1.63313,1.24109,2.8256,0.20087,0.92746,0.62438,0.22702,1.07906,28.3202,2.86997,0.000878926,0.000878926,0.000878926
5,286.199,1.38599,0.98301,2.44876,0.72387,0.5,0.73127,0.24438,1.15361,7.58672,3.2719,0.000946456,0.000946456,0.000946456
6,331.353,1.36836,1.14508,2.46868,0.39727,0.81382,0.37112,0.1461,1.42009,24.9448,3.40259,0.000841835,0.000841835,0.000841835
7,364.628,1.2685,1.15583,2.28378,0.01669,0.93,0.01754,0.01111,1.33783,3702.55,31.6512,0.000676802,0.000676802,0.000676802
8,397.108,1.17557,1.08719,2.27842,0.01741,0.895,0.01834,0.00965,2.06663,2443.44,29.0291,0.000511769,0.000511769,0.000511769
9,430.713,1.10231,0.9543,2.13092,0.23847,0.89,0.29772,0.17108,1.38407,22.0685,2.56329,0.000346736,0.000346736,0.000346736
10,471.2,1.04428,0.91664,2.09815,0.33082,0.93203,0.41305,0.21308,1.38023,11.1424,2.52429,0.000181703,0.000181703,0.000181703
