epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2693,1.93568,3.63085,4.17634,0,0,0,0,1.24606,3.99015,4.14292,0.00030006,0.00030006,0.00030006
2,51.9923,1.88129,2.0372,3.65826,0,0,0,0,1.241,4.11518,4.16915,0.000555728,0.000555728,0.000555728
3,77.9351,1.62139,1.4491,3.03378,0.13784,1,0.93951,0.75789,1.12653,5.15645,2.38347,0.000748683,0.000748683,0.000748683
4,102.701,1.56958,1.30077,2.7338,0.4611,0.775,0.6601,0.20816,1.09867,7.29253,3.02677,0.000878926,0.000878926,0.000878926
5,127.551,1.28469,1.37188,2.44421,0.29836,0.925,0.80438,0.3086,1.12965,29.9778,2.96812,0.000946456,0.000946456,0.000946456
6,152.406,1.35528,1.374,2.46338,0.38786,0.55,0.4762,0.19558,1.24638,4.63419,2.66581,0.000841835,0.000841835,0.000841835
7,177.834,1.24614,1.22406,2.33408,0.03681,0.895,0.04353,0.02608,1.23922,540.2,7.34119,0.000676802,0.000676802,0.000676802
8,202.435,0.98075,1.08021,2.05395,0.10658,0.83305,0.11085,0.05676,1.61548,124.494,3.82782,0.000511769,0.000511769,0.000511769
9,226.586,0.94877,0.88755,1.98816,0.09749,0.725,0.10827,0.02857,2.73259,106.41,4.38856,0.000346736,0.000346736,0.000346736
10,252.214,0.8054,0.84159,1.83673,0.1275,0.71,0.13305,0.05415,2.30483,49.7108,3.57253,0.000181703,0.000181703,0.000181703
