epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3365,0.54144,1.56889,1.14585,0.49153,1,0.81397,0.71957,0.43902,5.05951,0.94572,0.00030006,0.00030006,0.00030006
2,59.8087,0.31324,0.60762,1.001,0.70161,0.91,0.73988,0.6651,0.37451,8.62223,1.13644,0.000555728,0.000555728,0.000555728
3,89.0301,0.31959,0.54346,0.99848,0.48377,1,0.79997,0.62642,0.75658,8.81049,1.4203,0.000748683,0.000748683,0.000748683
4,118.269,0.3537,0.43276,0.98641,0.69603,0.2,0.19177,0.15975,2.13344,9.60501,2.84299,0.000878926,0.000878926,0.000878926
5,146.244,0.33144,0.42187,1.00389,0.39894,0.315,0.12884,0.09069,1.86966,11.4396,7.26434,0.000946456,0.000946456,0.000946456
6,173.085,0.33937,0.53038,0.98624,0.60281,0.75297,0.68162,0.51198,1.07795,3.8153,1.52842,0.000841835,0.000841835,0.000841835
7,201.248,0.25688,0.45054,0.96406,0.95493,0.96363,0.97626,0.89899,0.41823,0.632,1.14837,0.000676802,0.000676802,0.000676802
8,230.134,0.2705,0.34005,0.98905,0.96069,0.94796,0.99377,0.98221,0.24121,0.62749,1.0775,0.000511769,0.000511769,0.000511769
9,260.203,0.21168,0.28597,0.94929,0.75429,0.90347,0.93559,0.93399,0.1391,0.84994,1.05332,0.000346736,0.000346736,0.000346736
10,290.151,0.17658,0.253,0.94812,0.97218,0.99,0.99364,0.99219,0.12246,0.30949,1.05204,0.000181703,0.000181703,0.000181703
