epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1425,1.94465,3.62768,4.17773,0,0,0,0,1.24351,3.99007,4.14141,0.00030006,0.00030006,0.00030006
2,66.4165,1.91418,1.93011,3.65189,0,0,0,0,1.24743,4.07512,4.14269,0.000555728,0.000555728,0.000555728
3,101.265,1.57982,1.46666,2.99419,0.27422,1,0.9949,0.89541,1.08965,12.7017,2.4501,0.000748683,0.000748683,0.000748683
4,134.367,1.51156,1.07591,2.71501,0.93429,0.49,0.74057,0.45544,1.03082,5.60983,2.34086,0.000878926,0.000878926,0.000878926
5,166.911,1.28277,1.00413,2.42247,0.9705,0.49,0.77327,0.43735,0.9678,2.74845,2.28623,0.000946456,0.000946456,0.000946456
6,199.791,1.36884,1.02537,2.43638,0.42741,0.81,0.59866,0.263,1.14428,4.92914,2.61078,0.000841835,0.000841835,0.000841835
7,233.182,1.13088,1.03599,2.19419,0.79938,0.72833,0.88581,0.56518,1.02676,2.95352,2.06781,0.000676802,0.000676802,0.000676802
8,266.109,0.99798,0.95831,2.07277,0.20667,0.845,0.24167,0.13175,1.39947,13.2018,2.82236,0.000511769,0.000511769,0.000511769
9,298.687,0.94444,0.91774,2.00106,0.09395,0.91,0.10369,0.04165,2.04614,41.9289,4.34412,0.000346736,0.000346736,0.000346736
10,332.084,0.77751,0.83075,1.83203,0.09785,0.81706,0.1176,0.04899,2.08557,37.9911,4.40217,0.000181703,0.000181703,0.000181703
